sentence,overall
"giao hàng hộp điện thoại[10,23,neu] đã khuihàng, hộp dây sạc[49,59,neg] nằm ngoài hộp điện thoại vì người nhà nhận dùm mà ko quay video lúc khui hàng liên lạc nhân viên hộ trợ[172,187,neg] cứ kêu gửi hìnhảnh, duyệt qua mail lòngvòng, chăm sóc khách hàng[247,265,neg] rất tệ",neg
"Giao hàng[0,8,p]nhanh. Sản phẩm[23,30,p] mới còn nguyên tem và vỏ chốngbóc. Mình đã từng dùng cả Xiao Mi và Samsung thì thấy Samsung phần mềm[133,140,p] ổnđịnh, dễ dùnghơn, ít lỗi vặthơn, phần cứng[188,196,p] bền bỉ hơn và không bị nóngmáy.",p
"Điện thoại mặc dùng đã kích hoạt bảo hành[33,40,neu] nhưng vẫn còn nguyênseal.",neu
Máy đẹp,
Good,
Nvufufjf7,
" Sản phẩm[1,8,neu] kích hoạt bảo hành đã 2 tháng! Haiz",neu
Rất OK đến hiệntại.,
"Giao hành[0,8,p] nhanh",p
Tuyệt,
Tốt,
"Hàng giao[0,8,p] nhanhlắm. Mua làm quà tặng thấy ý nghĩaghê. Mà người nhận rấtthích. Mọi người nên muanhé. Chụp bên ngoài cho mng xemnhe. Hàng đóng gói[138,150,p] cẩn thậnnữa. Ship[176,179,p] giao thânthiện. Ưng hết nấc",p
"Hàng giao[0,8,p]nhanh, xài mấy tháng rồi chả có lỗi gì",p
Nói chung người nhận sài rất ưng ý và hài lòng,
Tại sao máy giao đến ngày2/6 vừa mở máy lên thì thấy máy đã kích hoạt từ tháng3. Tiki bán hàng second hand à,
Quá nhanh Hàng khỏi chê Giá siêu rẻ,
"Kế toán xuất hoá đơn[13,19,neg] sai thôngtin. Gọi lại m trao đổithêm.",neg
"Đẹp ok Titan natural nhưng như là màu[35,37,neu] xám đúng hơn",neu
"Hàng[0,3,p] nhận chuẩn đúng như môtả, đóng gói[38,45,p] cẩnthận. Giao hàng[65,73,p] nhanh",p
"Hàng[0,3,p] nhận đẹp đứng như môtả, đóng gói[36,43,p] cẩnthận. Giao hàng[63,71,p] nhanh",p
